id,NAME,TRADITIONAL_NAME,TRADITIONAL_NAME_MEANING_E,TRADITIONAL_NAME_MEANING_F,REGION,POPULATION,POSTAL_ADDRESS_E,POSTAL_ADDRESS_F,POSTAL_CODE,PROVINCE_CODE,PHONE,FAX,WEBSITE,MEMBER_PARL_NAME_E,MEMBER_PARL_NAME_F,MEMBER_LEGSL_ASSEMBLY_NAME_E,MEMBER_LEGSL_ASSEMBLY_NAME_F,LCO_NAME,LCO_POSTAL_ADDRESS_E,LCO_POSTAL_ADDRESS_F,LCO_CITY,LCO_PROVINCE_CODE,LCO_POSTAL_CODE,LCO_PHONE,LCO_WEBSITE,OTHER_LINKS,COMMUNITY_BACKGROUND_F,COMMUNITY_BACKGROUND_E,LONGITUDE,LATITUDE,COORD_SYS
IN22,Coral Harbour,Salliq,Large flat island in front of the mainland,Grande île plate en face de la terre ferme,Nunavut,834,PO Box 30,CP 30,X0C 0C0,NU,(867) 925-8867,(867) 925-8233,http://www.coralharbour.ca/,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"Steve Mapsalak, Aivilik","Steve Mapsalak, Aivilik",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://www.kivalliqinuit.ca/,,,-83.16689326,64.13373896399997,GCS_North_American_1983_C
IN30,Pangnirtung,Panniqtuuq,Place of the bull caribou,Lieu du caribou mâle,Nunavut,1425,PO Box 253,CP 253,X0A 0R0,NU,(867) 473-8953,(867) 437-8832,http://www.pangnirtung.ca/,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"The Honourable Johnny Mike, Pangnirtung","L'honorable Johnny Mike, Pangnirtung",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://www.qia.ca,,,-65.71748132300002,66.139532997,GCS_North_American_1983_C
IN32,Qikiqtarjuaq,Qikiqtarjuaq,Big island,Grosse île,Nunavut,520,PO Box 4,CP 4,X0A 0B0,NU,(867) 927-8832,(867) 927-8120,,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"Pauloosie Keyootak, Uqqummiut","Pauloosie Keyootak, Uqqummiut",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://www.qia.ca,,,-64.021831346,67.545147998,GCS_North_American_1983_C
IN33,Rankin Inlet,Kangiqliniq,Deep inlet,Baie profonde,Nunavut,2266,PO Box 310,CP 310,X0C 0G0,NU,(867) 645-2895,(867) 645-2146,http://www.rankininlet.ca/,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"The Honourable Tom Sammurtok, Rankin Inlet North - Chesterfield Inlet; Alexander Sammurtok, Rankin Inlet South","L'honorable Tom Sammurtok, Rankin Inlet-Nord - Chesterfield Inlet; Alexander Sammurtok, Rankin Inlet-Sud",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://www.kivalliqinuit.ca/,,,-92.08774122099999,62.80891294999998,GCS_North_American_1983_C
IN34,Naujaat,Naujaat,Nesting place for seagulls,Lieu de nidification des goélands,Nunavut,945,PO Box 10,CP 10,X0C 0H0,NU,(867) 462-9952,(867) 462-4144,http://www.repulsebay.ca/hamlet.html,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"Steve Mapsalak, Aivilik","Steve Mapsalak, Aivilik",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://www.kivalliqinuit.ca/,,,-86.18819627699997,66.54656495400002,GCS_North_American_1983_C
IN35,Sanikiluaq,Sanikiluaq,Named after a man whose exploits of being a fast runner became legend,Nommé d'après un homme courant vite dont les exploits sont devenus légendaires,Nunavut,812,PO Box 157,CP 157,X0A 0W0,NU,(867) 266-7900,(867) 266-7924,http://www.sanikiluaq.ca,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"Allan Rumbolt, Hudson Bay","Allan Rumbolt, Baie d'Hudson",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://www.qia.ca,,,-79.22241821,56.540774983000006,GCS_North_American_1983_C
IN37,Whale Cove,Tikirarjuaq,Long point,Longue pointe,Nunavut,407,PO Box 120,CP 120,X0C 0J0,NU,(867) 896-9961,(867) 896-9109,http://www.whalecove.ca,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"The Honourable George Kuksuk, Arviat North - Whale Cove","L'honorable George Kuksuk, Arviat-Nord - Whale Cove",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://www.kivalliqinuit.ca/,,,-92.601676215,62.24252295000002,GCS_North_American_1983_C
IN38,Bathurst Inlet,Kingauk,The nose - in reference to a hill behind the community,Le nez - fait référence à une colline située derrière la collectivité,Nunavut,0,,,,NU,,,,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"The Honourable Keith Peterson, Cambridge Bay","L'honorable Keith Peterson, Cambridge Bay",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://kitia.ca/en/our-region/community-profiles/bathurst-inlet,,,-108.048611187,66.83888891999999,GCS_North_American_1983_C
IN23,Gjoa Haven,Uqsuqtuuq,Place of plenty of blubber due to the once plentiful seal,Lieu où il y a beaucoup de lard parce qu'il y a déjà eu abondance de phoques,Nunavut,1279,PO Box 200,CP 200,X0E 1J0,NU,(867) 360-7141,(867) 360-6309,http://www.gjoahaven.net,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"Tony Akoak, Gjoa Haven","Tony Akoak, Gjoa Haven",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://kitia.ca/en/our-region/community-profiles/gjoa-haven,,,-95.84972226299999,68.63555593500001,GCS_North_American_1983_C
IN25,Hall Beach,Sanirajak,Flat land,Terre plate,Nunavut,546,PO Box 3,CP 3,X0A 0K0,NU,(867) 928-8829,(867) 928-8871,,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"The Honourable George Qulaut, Amittuq","L'honorable George Qulaut, Amittuq",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://www.qia.ca,,,-81.235208323,68.77273495999998,GCS_North_American_1983_C
IN26,Igloolik,Iglulik,There is an igloo here,Il y a un igloo ici,Nunavut,1454,PO Box 30,CP 30,X0A 0L0,NU,(867) 934-8830,(867) 934-8757,,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"The Honourable Paul Quassa, Aggu","L'honorable Paul Quassa, Aggu",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://www.qia.ca,,,-81.82441933000001,69.36684895799999,GCS_North_American_1983_C
IN27,Kimmirut,Kimmirut,A heel - in reference to a rocky outcrop located across the inlet opposite the community,"Talon - fait référence à un affleurement rocheux situé de l'autre côté de l'anse, face à la collectivité",Nunavut,455,PO Box 120,CP 120,X0A 0N0,NU,(867) 939-2247,(867) 939-2045,http://www.kimmirut.ca/,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"David Joanasie, South Baffin","David Joanasie, Baffin-Sud",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://www.qia.ca,,,-69.86920327799999,62.84741899300002,GCS_North_American_1983_C
IN28,Kugaaruk,Kuugaarjuk,Formerly known as Pelly Bay for which the Inuit name is Arviligjuaaq meaning Place with lots of bowhead whales,"Appelé autrefois Pelly Bay, dont le nom inuit est Arviligjuaaq, ce qui signifie endroit où il y a beaucoup de baleines boréales",Nunavut,771,PO Box 117,CP 117,X0B 1K0,NU,(867) 769-6281,(867) 769-6069,,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"Emiliano Qirngnuq, Netsilik","Emiliano Qirngnuq, Netsilik",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://kitia.ca/en/our-region/community-profiles/kugaaruk,,,-89.82500028700002,68.534721945,GCS_North_American_1983_C
IN29,Kugluktuk,Kugluktuk,Place of moving water or place of rapids,Lieu des eaux en mouvement ou lieu des rapides,Nunavut,1450,PO Box 271,CP 271,X0B 1E0,NU,(867) 982-4471,(867) 982-3060,,The Honourable Hunter Tootoo,L'honorable Hunter Tootoo,"The Honourable Peter Taptuna, Kugluktuk","L'honorable Peter Taptuna, Kugluktuk",Nunavut Tunngavik Inc.,PO Box 638,CP 638,Iqaluit,NU,X0A 0H0,1-888-646-0006,http://www.tunngavik.com/,http://kitia.ca/en/our-region/community-profiles/kugluktuk,,,-115.13616215799999,67.81500091100003,GCS_North_American_1983_C
IN01,Nain,Nunajnguk,,,Nunatsiavut,1188,"2 Anaktalak, PO Box 400","2 Anaktalak, CP 400",A0P 1L0,NL,(709) 922-2842,(709) 922-2295,,Yvonne Jones,Yvonne Jones,"Randy Edmunds, Torngat Mountains","Randy Edmunds, Torngat Mountains",Nunatsiavut Government,"25 Ikajuktauvik Road, PO Box 70","25 Ikajuktauvik Road, CP 70",Nain,NL,A0P 1L0,1-709-922-2942,http://www.nunatsiavut.com/,,,,-61.687865235000004,56.55032201900002,GCS_North_American_1983_C
IN02,Hopedale,Aqvituq,Place of the whales,Lieu des baleines,Nunatsiavut,556,PO Box 190,CP 190,A0P 1G0,NL,(709) 933-3864,(709) 933-3800,,Yvonne Jones,Yvonne Jones,"Randy Edmunds, Torngat Mountains","Randy Edmunds, Torngat Mountains",Nunatsiavut Government,"25 Ikajuktauvik Road, PO Box 70","25 Ikajuktauvik Road, CP 70",Nain,NL,A0P 1L0,1-709-922-2942,http://www.nunatsiavut.com/,,,,-60.211485229000004,55.457954024,GCS_North_American_1983_C
IN03,Rigolet,Kikiak,Nail,Clou,Nunatsiavut,306,PO Box 69,CP 69,A0P 1P0,NL,(709) 947-3382,(709) 947-3360,http://www.townofrigolet.com,Yvonne Jones,Yvonne Jones,"Randy Edmunds, Torngat Mountains","Randy Edmunds, Torngat Mountains",Nunatsiavut Government,"25 Ikajuktauvik Road, PO Box 70","25 Ikajuktauvik Road, CP 70",Nain,NL,A0P 1L0,1-709-922-2942,http://www.nunatsiavut.com/,,,,-58.429221222000024,54.179159029000004,GCS_North_American_1983_C
IN04,Postville,Qipuqqaq,,,Nunatsiavut,206,PO Box 74,CP 74,A0P 1N0,NL,(709) 479-9830,(709) 479-9888,,Yvonne Jones,Yvonne Jones,"Randy Edmunds, Torngat Mountains","Randy Edmunds, Torngat Mountains",Nunatsiavut Government,"25 Ikajuktauvik Road, PO Box 70","25 Ikajuktauvik Road, CP 70",Nain,NL,A0P 1L0,1-709-922-2942,http://www.nunatsiavut.com/,,,,-59.770497225999975,54.908564024999976,GCS_North_American_1983_C
